sample;sample_sound;comp;correct_comp;img_right;img_wrong;sound_right;sound_wrong;time_right;time_wrong
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
B2.png;n;C1.png,C2.png;C2.png;n;n;n;n;1;1
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
B2.png;n;C1.png,C2.png;C2.png;n;n;n;n;1;1
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
B2.png;n;C1.png,C2.png;C2.png;n;n;n;n;1;1
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
B2.png;n;C1.png,C2.png;C2.png;n;n;n;n;1;1
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
B2.png;n;C1.png,C2.png;C2.png;n;n;n;n;1;1
B1.png;n;C1.png,C2.png;C1.png;n;n;n;n;1;1
