sample;sample_sound;cont_stim;comp;correct_comp;img_right;img_wrong;sound_right;sound_wrong;points_right;points_wrong;time_right;time_wrong
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A1.png;n;green.png;B1.png,B2.png;B1.png;img_right.png;img_wrong.png;n;n;1;1;1;1
A2.png;n;red.png;B1.png,B2.png;B2.png;img_right.png;img_wrong.png;n;n;1;1;1;1
