sample;sample_sound;comp;correct_comp;img_right;img_wrong;sound_right;sound_wrong;time_right;time_wrong
girassol.jpg,vd.jpg;n;girassol.jpg,rosa.jpg;girassol.jpg;img_right.png;img_wrong.png;n;n;1;1
pscina.jpg,vm.jpg;n;americano.jpg,pscina.jpg;americano.jpg;img_right.png;img_wrong.png;n;n;1;1
cachorro.jpg,vm.jpg;n;golfinho.jpg,cachorro.jpg;golfinho.jpg;img_right.png;img_wrong.png;n;n;1;1
volei.jpg,vd.jpg;n;volei.jpg,tenis.jpg;volei.jpg;img_right.png;img_wrong.png;n;n;1;1
pao.jpg,vm.jpg;n;pao.jpg,piramides.jpg;piramides.jpg;img_right.png;img_wrong.png;n;n;1;1
rosa.jpg,vm.jpg;n;arvore.jpg,rosa.jpg;arvore.jpg;img_right.png;img_wrong.png;n;n;1;1
futebol.jpg,vd.jpg;n;futebol.jpg,americano.jpg;futebol.jpg;img_right.png;img_wrong.png;n;n;1;1
cidade.jpg,vm.jpg;n;cidade.jpg,praia.jpg;praia.jpg;img_right.png;img_wrong.png;n;n;1;1
piramides.jpg,vm.jpg;n;piramides.jpg,pao.jpg;pao.jpg;img_right.png;img_wrong.png;n;n;1;1
vitoria.jpg,vd.jpg;n;vitoria.jpg,coloridas.jpg;vitoria.jpg;img_right.png;img_wrong.png;n;n;1;1
gato.jpg,vd.jpg;n;golfinho.jpg,gato.jpg;gato.jpg;img_right.png;img_wrong.png;n;n;1;1
urso.jpg,vm.jpg;n;cachorro.jpg,urso.jpg;cachorro.jpg;img_right.png;img_wrong.png;n;n;1;1
bode.jpg,vd.jpg;n;gato.jpg,bode.jpg;bode.jpg;img_right.png;img_wrong.png;n;n;1;1
praia.jpg,vd.jpg;n;praia.jpg,cidade.jpg;praia.jpg;img_right.png;img_wrong.png;n;n;1;1
golfinho.jpg,vm.jpg;n;golfinho.jpg,gato.jpg;gato.jpg;img_right.png;img_wrong.png;n;n;1;1
arvore.jpg,vd.jpg;n;arvore.jpg,rosa.jpg;arvore.jpg;img_right.png;img_wrong.png;n;n;1;1
americano.jpg,vm.jpg;n;futebol.jpg,americano.jpg;futebol.jpg;img_right.png;img_wrong.png;n;n;1;1
coloridas.jpg,vm.jpg;n;coloridas.jpg,vitoria.jpg;vitoria.jpg;img_right.png;img_wrong.png;n;n;1;1
pao.jpg,vd.jpg;n;cidade.jpg,pao.jpg;pao.jpg;img_right.png;img_wrong.png;n;n;1;1
tenis.jpg,vd.jpg;n;volei.jpg,tenis.jpg;tenis.jpg;img_right.png;img_wrong.png;n;n;1;1
